BUDAT,MBLNR,MATNR,WERKS,BWART,MENGE,MEINS,DMBTR,WAERS
15.01.2024,4900078231,HSD-DIESEL-001,1100,201,5000,L,427500,INR
22.01.2024,4900078456,MS-PETROL-002,1200,261,1200,L,110400,INR
31.01.2024,4900078891,HSD-DIESEL-001,1100,201,4800,L,410400,INR
05.02.2024,4900079102,LPG-BULK-003,1100,201,2200,KG,176000,INR
14.02.2024,4900079345,HSD-DIESEL-001,1300,261,3.500,L,299250,INR
20.02.2024,4900079512,HSD-DIESEL-001,1100,202,-5000,L,-427500,INR
20.02.2024,4900079513,HSD-DIESEL-001,1100,201,4750,L,406125,INR
28.02.2024,4900079788,MS-PETROL-002,1200,201,980,L,90160,INR
05.03.2024,4900079901,9000456,1100,261,350,KG,47250,INR
12.03.2024,4900080112,HSD-DIESEL-001,1400,201,50000,L,4275000,INR
18.03.2024,4900080334,HSD-DIESEL-001,1100,101,20000,L,1710000,INR
22.03.2024,4900080445,MS-PETROL-002,1200,261,1500,GAL,550000,INR
28.03.2024,4900080671,LPG-BULK-003,1300,201,1800,KG,144000,INR
30.03.2024,4900080890,HSD-DIESEL-001,1100,261,4200,L,359100,INR
31.03.2024,4900080999,NATGAS-PIPE-004,1100,201,840,M3,67200,INR
